task,model,n,seed,em,f1,tokens,time_ms_per_100
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,1.0,0.565,10347,180.1080286362894
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,1.0,0.525,10339,178.48103783731466
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,1.0,0.595,51668,176.53166639506213
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,1.0,0.625,10330,176.37236512099366
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,1.0,0.588,51673,177.48232756178103
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.6,2581,166.04461247585715
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,1.0,0.66,2582,165.84395793965604
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,1.0,0.591,51656,176.82922567368504
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,1.0,0.54,2580,177.52896333325953
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.01,0.0,17619,573.1809433452509
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.02,0.015,24319,488.94885312718304
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.015,0.0,88304,580.1776310903233
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.01,0.005,25931,503.7176486290498
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.017,0.01,130170,496.5540416854877
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.04,0.0,4410,576.616862947828
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.02,0.02,6465,497.6181019798512
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.028,0.013,122770,508.9361845369387
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.0,0.0,6042,478.41757576961356
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.62,0.33686904761904735,8777,313.9212629827771
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.675,0.30910714285714264,8751,280.9950817620697
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.668,0.32030101010101,43698,278.9356642386338
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.685,0.36274999999999985,8724,273.76817707473634
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.626,0.32497847152847126,43982,288.1357359965458
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.66,0.29080952380952374,2190,302.4722539724957
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.68,0.3355238095238095,2179,277.14010908681854
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.632,0.3233513347763346,43821,283.5029778416778
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.66,0.2578571428571429,2192,296.86239169700957
