task,model,n,seed,em,f1,tokens,time_ms_per_100
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,1.0,0.585,10343,170.35274965679122
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,1.0,0.655,10313,162.31331092792715
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,1.0,0.579,51684,168.03812485682386
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,1.0,0.505,10354,172.784526009253
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,1.0,0.589,51672,167.14588916047333
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.68,2577,161.77556255343094
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,1.0,0.6,2585,171.9708662282863
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,1.0,0.589,51658,166.73750100468678
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,1.0,0.52,2581,165.2422118171374
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.02,0.005,17733,557.4686025376303
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.04,0.025,24490,478.66365198039216
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.015,0.001,88211,547.4099539717298
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.01,0.005,25719,460.12477404641567
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.021,0.011,130139,480.80929647453837
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.02,0.0,4565,607.7722813581686
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.02,0.02,6499,481.386079519966
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.031,0.012,122503,478.4802286817486
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.02,0.0,6128,480.00116832569773
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.62,0.29926190476190445,8763,315.2286968161669
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.665,0.37368290043290037,8723,289.6054252435926
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.662,0.33341575091575065,43737,293.62873873836355
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.665,0.3462738095238095,8746,294.9064520466372
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.62,0.31160074370074314,44036,292.0031199155225
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.68,0.3465238095238095,2180,294.1248481192398
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.74,0.3801904761904762,2157,279.2612050532543
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.65,0.3197986291486289,43751,284.21383130671177
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.62,0.3140952380952381,2191,300.4419351893665
