task,model,n,seed,em,f1,tokens,time_ms_per_100
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,1.0,0.585,10343,178.52634276323025
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,1.0,0.63,10318,172.63537840669176
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,1.0,0.57,51693,177.7575854196892
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,1.0,0.57,10341,177.49692036553895
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,1.0,0.601,51660,175.75804806232964
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.5,2586,178.96275030924664
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,1.0,0.62,2584,178.78768722913256
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,1.0,0.578,51669,176.4211619501044
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,1.0,0.64,2575,170.17085056311737
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.005,0.0,17817,595.8401062300061
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.035,0.015,24321,491.38994025738856
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.014,0.0,88733,589.1336562721879
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.025,0.015,26111,515.6055571636529
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.023,0.013,129962,506.45859919053197
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.0,0.0,4466,601.7706547021752
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.0,0.0,6472,498.5247737329991
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.033,0.015,123157,516.7344620622474
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.02,0.02,6402,597.1513748203968
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.64,0.3378333333333331,8745,305.8602316638013
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.68,0.3203062770562768,8739,294.67429396955083
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.681,0.33006666666666656,43654,292.71402501947085
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.665,0.3766666666666666,8726,288.21853013982576
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.632,0.3331555056055051,43934,304.182466756953
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.58,0.3942197802197802,2223,337.9478615834818
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.66,0.4027792207792207,2176,290.2545770220232
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.633,0.3214430735930731,43838,304.3773495871192
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.58,0.36023809523809525,2207,313.86845033988175
