task,model,n,seed,em,f1,tokens,time_ms_per_100
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.2266666666666666,2226,256.42489487868295
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,2025,1.0,0.28666666666666657,2219,259.07084709320344
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.62,0.62,6254,102.89470930605972
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.52,0.52,6266,106.90599122246955
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.94,0.21714285714285708,28131,60.45132994560155
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.94,0.2438095238095238,28128,60.20238275028011
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.34,0.2088124098124098,3053,288.8260215853489
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.4,0.17785858585858588,3082,305.4916622648302
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.32,0.2062474747474748,3072,301.0667543618932
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.36,0.21427777777777782,3062,296.27651819075294
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.36,0.23693939393939398,3067,299.8641750244377
