suite,preset,em_raw_mean,em_raw_ci,em_norm_mean,em_norm_ci,f1_mean,f1_ci
episodic_cross,rag,0.0,0.0,0.0,0.0,0.2466666666666666,0.03233835012626475
semantic,rag,0.94,0.05543717164502529,0.94,0.05543717164502529,0.94,0.05543717164502529
episodic_multi,rag,0.6000000000000001,0.11087434329005066,0.6000000000000001,0.11087434329005066,0.6033333333333333,0.11549410759380266
spatial,rag,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,rag,0.0,0.0,0.0,0.0,0.2,0.09503515139147195
episodic,rag,0.11,0.013859292911256323,0.11,0.013859292911256323,0.248976911976912,0.0038598030762950833
episodic_cross,core,0.0,0.0,0.0,0.0,0.24499999999999994,0.006929646455628152
semantic,core,0.9199999999999999,0.05543717164502529,0.9199999999999999,0.05543717164502529,0.9199999999999999,0.05543717164502529
episodic_multi,core,0.54,0.08315575746753798,0.54,0.08315575746753798,0.54,0.08315575746753798
spatial,core,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,core,0.0,0.0,0.0,0.0,0.17333333333333337,0.02375878784786801
episodic,core,0.08,0.027718585822512666,0.08,0.027718585822512666,0.2446113331113331,0.0016866062585476605
episodic_cross,span_short,0.0,0.0,0.0,0.0,0.24999999999999994,0.041577878733768954
semantic,span_short,0.9199999999999999,0.05543717164502529,0.9199999999999999,0.05543717164502529,0.9199999999999999,0.05543717164502529
episodic_multi,span_short,0.55,0.013859292911256342,0.55,0.013859292911256342,0.5533333333333333,0.018479057215008404
spatial,span_short,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,span_short,0.0,0.0,0.0,0.0,0.20666666666666667,0.03035845113894245
episodic,span_short,0.09,0.013859292911256333,0.09,0.013859292911256333,0.2324920634920635,0.005631712675050168
episodic_cross,longctx,0.0,0.0,0.0,0.0,0.20499999999999996,0.034648232278140796
semantic,longctx,0.99,0.013859292911256342,0.99,0.013859292911256342,0.99,0.013859292911256342
episodic_multi,longctx,0.8200000000000001,0.05543717164502529,0.8200000000000001,0.05543717164502529,0.8200000000000001,0.05543717164502529
spatial,longctx,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,longctx,0.0,0.0,0.0,0.0,0.35333333333333333,0.043557777721091304
episodic,longctx,0.12,0.05543717164502532,0.12,0.05543717164502532,0.3226284271284271,0.06206983325255515
